channel,x,y,z
P3,-53.0073,-78.7878,55.94
P1,-28.6203,-80.5249,75.436
Pz,0.3247,-81.115,82.615
P2,31.9197,-80.4871,76.716
P4,55.6667,-78.5602,56.561
P6,67.8877,-75.9043,28.091
P8,73.0557,-73.0683,-2.54
P10,73.8947,-74.3903,-41.22
PO9,-54.9104,-98.0448,-35.465
PO7,-54.8404,-97.5279,2.792
PO5,-48.4244,-99.3408,21.599
PO3,-36.5114,-100.8529,37.167
PO1,-18.9724,-101.768,46.536
POz,0.2156,-102.178,50.608
PO2,19.8776,-101.793,46.393
PO4,36.7816,-100.8491,36.397
PO6,49.8196,-99.4461,21.727
PO8,55.6666,-97.6251,2.73
PO10,54.9876,-98.0911,-35.541
O1,-29.4134,-112.449,8.839
Oz,0.1076,-114.892,14.657
O2,29.8426,-112.156,8.8
I1,-29.8184,-114.57,-29.216
Iz,0.0045,-118.565,-23.078
I2,29.7416,-114.26,-29.256
AFp9h,-43.2897,75.8552,-28.244
AFp7h,-38.5517,79.9532,-4.995
AFp5h,-27.9857,82.4591,2.702
AFp3h,-17.1947,84.8491,10.027
AFp1h,-5.9317,86.878,16.2
AFp2h,7.1053,87.074,16.469
AFp4h,18.9233,85.5969,11.443
AFp6h,28.6443,82.9759,2.828
AFp8h,39.3203,80.6868,-4.725
AFp10h,43.8223,76.5418,-28.307
AFF9h,-63.2538,53.8573,-30.316
AFF7h,-61.3508,58.7992,0.897
AFF5h,-50.7998,64.0412,23.089
AFF3h,-34.3157,68.3931,41.188
AFF1h,-11.4357,70.7561,50.348
AFF2h,13.4793,71.201,51.175
AFF4h,36.1833,69.1509,41.254
AFF6h,52.3972,65.0708,22.862
AFF8h,62.9152,60.0448,0.63
AFF10h,64.3342,54.5998,-30.444
FFT9h,-79.0669,28.0813,-31.253
FFT7h,-74.4999,31.3003,4.846
FFC5h,-65.2379,36.4282,36.144
FFC3h,-44.4098,40.7622,61.69
FFC1h,-15.4238,43.66,77.682
FFC2h,17.5922,44.054,77.788
FFC4h,45.8532,41.6228,60.647
FFC6h,67.1281,37.7998,35.296
FFT8h,78.0531,32.9817,4.483
FFT10h,80.0971,28.5137,-31.338
FTT9h,-84.125,-1.8467,-29.794
FTT7h,-82.355,0.8263,8.579
FCC5h,-74.692,4.3033,45.307
FCC3h,-51.0509,7.1772,74.377
FCC1h,-18.219,9.0941,92.529
FCC2h,18.787,9.2479,91.562
FCC4h,51.8851,7.7978,73.507
FCC6h,77.002,5.3357,45.35
FTT8h,83.888,1.9457,8.501
FTT10h,84.123,-1.8083,-29.638
TTP9h,-86.9731,-32.2157,-27.848
TTP7h,-85.5651,-30.6287,11.153
CCP5h,-76.4071,-29.7307,49.217
CCP3h,-52.9281,-28.9058,80.304
CCP1h,-18.3541,-28.3219,98.22
CCP2h,20.2199,-28.1481,98.172
CCP4h,55.1139,-28.3862,80.474
CCP6h,79.0059,-28.9863,49.628
TTP8h,85.9999,-29.8203,11.248
TTP10h,88.6249,-32.2723,-28
TPP9h,-78.1602,-60.7567,-23.824
TPP7h,-76.6802,-60.8317,12.88
CPP5h,-68.1152,-62.9747,47.252
CPP3h,-46.9142,-64.6908,75.296
CPP1h,-15.8202,-65.5999,91.164
CPP2h,19.4198,-65.595,92.405
CPP4h,50.6738,-64.4822,76.13
CPP6h,71.0958,-62.6243,47.328
TPP8h,78.5198,-60.4323,12.902
TPP10h,78.9027,-60.9553,-23.805
PPO9h,-64.5973,-87.6558,-19.014
PPO7h,-62.9593,-87.5028,12.952
PPO5h,-54.0103,-89.8988,37.332
PPO3h,-35.8874,-91.6669,55.504
PPO1h,-12.0474,-92.6069,65.508
PPO2h,13.9226,-92.694,66.958
PPO4h,37.7986,-91.6291,56.733
PPO6h,54.6087,-89.6402,37.035
PPO8h,63.1117,-87.2282,12.856
PPO10h,65.0137,-87.8062,-18.952
POO9h,-42.8624,-108.073,-13.151
POO7h,-40.1204,-107.129,12.061
POO5h,-31.9514,-108.252,23.047
POO3h,-19.8624,-108.942,29.76
POO1h,-6.9194,-109.26,32.71
POO2h,6.8036,-109.163,31.582
POO4h,20.2936,-108.914,28.944
POO6h,32.1756,-108.252,22.255
POO8h,41.0976,-107.245,12.138
POO10h,43.8946,-109.127,-13.17
OI1h,-14.8504,-117.987,-6.92
OI2h,15.0946,-118.018,-6.933
Fp1h,-14.8107,87.2351,-4.477
Fp2h,15.1623,88.091,-4.551
AF9h,-54.8298,66.4132,-29.704
AF7h,-51.1757,70.8362,-1.755
AF5h,-39.6407,74.8671,13.678
AF3h,-27.2187,78.7091,28.375
AF1h,-9.1977,80.6051,35.133
AF2h,10.4823,80.865,35.359
AF4h,28.5803,79.3029,28.47
AF6h,40.9403,75.7399,13.86
AF8h,52.0293,71.8468,-1.92
AF10h,55.7542,67.1698,-29.824
F9h,-71.5079,41.1193,-30.854
F7h,-68.5558,45.2843,3.002
F5h,-58.4878,50.6722,30.192
F3h,-39.9798,55.2601,52.6
F1h,-13.3838,57.9021,64.332
F2h,15.8342,58.4559,64.992
F4h,41.7942,56.2259,51.499
F6h,60.0522,52.0858,28.708
F8h,71.9592,47.1917,2.475
F10h,72.7981,41.8218,-31.026
FT9h,-82.9559,13.3203,-30.808
FT7h,-80.1139,16.3903,6.85
FC5h,-71.2099,20.8203,41.324
FC3h,-48.5119,24.5292,69.136
FC1h,-17.3439,27.0241,86.923
FC2h,18.4181,27.2709,86.437
FC4h,49.5481,25.2378,68.43
FC6h,73.2191,22.0067,41.297
FT8h,81.5801,17.6837,6.564
FT10h,83.3711,13.5477,-30.749
T9h,-85.1321,-17.0557,-28.731
T7h,-82.9461,-14.8827,10.009
C5h,-75.2941,-12.6397,47.904
C3h,-51.5811,-10.7548,78.035
C1h,-18.279,-9.4319,97.356
C2h,19.678,-9.3041,95.706
C4h,53.8059,-10.1442,77.73
C6h,78.1249,-11.7353,47.84
T8h,85.1369,-13.9063,9.89
T10h,86.0999,-17.0883,-28.756
TP9h,-84.8102,-47.2457,-26.22
TP7h,-82.7042,-46.2977,11.974
CP5h,-73.3012,-46.7917,49.109
CP3h,-51.0492,-47.1758,80.016
CP1h,-17.3542,-47.3419,97.41
CP2h,20.6798,-47.2321,98.072
CP4h,53.9968,-46.8902,80.077
CP6h,76.5498,-46.3733,49.14
TP8h,85.1998,-45.8073,12.102
TP10h,85.4428,-47.2213,-26.176
P9h,-72.1773,-74.6277,-21.536
P7h,-70.1133,-74.8677,12.999
P5h,-61.7283,-77.6238,43.028
P3h,-41.6733,-79.7528,66.715
P1h,-13.9613,-81.0029,81.003
P2h,17.2977,-80.981,81.641
P4h,44.7477,-79.6111,67.655
P6h,63.6267,-77.3022,43.119
P8h,72.1037,-74.4993,13.025
P10h,73.2817,-75.0773,-21.576
PO9h,-54.7754,-98.9768,-16.193
PO7h,-51.9284,-98.4438,12.304
PO5h,-43.3424,-100.1629,30.009
PO3h,-28.0074,-101.361,42.379
PO1h,-9.5034,-102.06,49.418
PO2h,10.2356,-102.029,48.942
PO4h,28.6476,-101.3901,42.138
PO6h,44.2206,-100.2191,29.808
PO8h,52.8386,-98.536,12.25
PO10h,55.8596,-99.894,-16.208
O1h,-14.8054,-115.1,11.829
O2h,15.1456,-115.191,11.833
I1h,-15.1584,-118.242,-26.048
I2h,15.1286,-118.151,-26.081
AFp9,-36.1247,72.3801,-45.852
AFp7,-43.5117,78.5802,-9.24
AFp5,-33.2847,81.2071,-1.14
AFp3,-22.3517,83.5621,6.071
AFp1,-12.2417,86.1941,14.188
AFpz,0.1703,87.322,17.442
AFp2,13.6223,86.7579,15.302
AFp4,24.1013,84.3769,7.433
AFp6,33.9133,81.8119,-1.035
AFp8,43.9483,79.2958,-9.3
AFp10,37.7123,72.1679,-46.197
AFF9,-59.3398,52.6802,-48.77
AFF7,-63.2618,55.9922,-11.173
AFF5,-55.8198,61.3962,11.884
AFF3,-43.3817,66.3672,32.811
AFF1,-23.5817,69.9171,47.293
AFFz,0.2763,71.28,52.092
AFF2,25.5583,70.5559,47.827
AFF4,45.1522,67.2748,32.731
AFF6,58.0002,62.5998,11.9
AFF8,64.6732,57.2738,-11.46
AFF10,60.6012,52.2668,-49.038
FFT9,-78.4839,28.7703,-50.522
FFT7,-76.6149,28.6533,-11.508
FFC5,-71.5059,33.9263,20.993
FFC3,-55.9399,38.7162,49.788
FFC1,-30.6548,42.4151,71.04
FFCz,0.3512,44.074,79.141
FFC2,32.6451,43.1009,70.795
FFC4,57.5042,39.8518,48.811
FFC6,74.2501,35.4997,20.38
FFT8,79.0341,30.3437,-11.997
FFT10,79.9201,28.9417,-50.914
FTT9,-87.362,-0.5147,-49.837
FTT7,-82.668,-0.9417,-10.284
FCC5,-80.133,2.5853,27.312
FCC3,-64.161,5.8313,60.885
FCC1,-35.749,8.3091,85.459
FCCz,0.3911,9.508,95.56
FCC2,36.07,8.6519,83.832
FCC4,65.164,6.6198,60.052
FCC6,81.544,3.6637,27.201
FTT8,83.168,0.1817,-10.364
FTT10,85.393,-0.9523,-49.52
TTP9,-86.6321,-31.2377,-47.178
TTP7,-85.9331,-31.0927,-8.474
CCP5,-81.5431,-30.1727,30.273
CCP3,-66.1281,-29.2957,65.898
CCP1,-36.9301,-28.5699,91.734
CCPz,0.3959,-28.163,101.269
CCP2,38.5399,-28.2251,90.976
CCP4,68.8539,-28.6403,66.41
CCP6,84.5529,-29.3783,30.878
TTP8,85.9999,-30.2803,-8.435
TTP10,86.7619,-31.7313,-47.253
TPP9,-80.7152,-60.6457,-43.594
TPP7,-78.5992,-59.7237,-4.758
CPP5,-73.6642,-61.9227,30.38
CPP3,-59.4112,-63.9248,62.672
CPP1,-32.7283,-65.3199,85.944
CPPz,0.3658,-65.75,94.058
CPP2,35.8918,-65.1381,85.98
CPP4,62.2558,-63.6152,62.719
CPP6,76.6708,-61.5483,30.543
TPP8,79.3188,-59.3033,-4.84
TPP10,81.5598,-61.2153,-43.8
PPO9,-64.5703,-86.4318,-38.324
PPO7,-64.5833,-86.2218,0.033
PPO5,-58.7123,-88.7048,25.193
PPO3,-46.1603,-90.8878,47.446
PPO1,-24.6483,-92.2919,62.076
PPOz,0.2727,-92.758,67.342
PPO2,26.4367,-92.2951,63.199
PPO4,47.1437,-90.7122,47.678
PPO6,60.8127,-88.5042,25.662
PPO8,65.1517,-85.9432,-0.009
PPO10,65.0377,-86.7182,-38.448
POO9,-43.1284,-107.516,-32.387
POO7,-42.9764,-106.493,5.773
POO5,-36.2344,-107.716,17.75
POO3,-25.9844,-108.616,26.544
POO1,-13.6644,-109.266,32.856
POOz,0.1676,-109.276,32.79
POO2,13.6506,-109.106,30.936
POO4,26.6636,-108.668,26.415
POO6,37.7006,-107.84,18.069
POO8,43.6696,-106.599,5.726
POO10,43.1766,-107.444,-32.463
OI1,-29.3914,-114.511,-10.02
OIz,0.0525,-119.343,-3.936
OI2,29.5526,-113.636,-10.051
T3,-84.1611,-16.0187,-9.346
T5,-72.4343,-73.4527,-2.487
T4,85.0799,-15.0203,-9.49
T6,73.0557,-73.0683,-2.54
M1,-86.0761,-44.9897,-67.986
M2,85.7939,-45.0093,-68.031
A1,-86.0761,-24.9897,-67.986
A2,85.7939,-25.0093,-68.031
